server,port,short_name
10.45.40.52,443,kusa-bcoasis
10.45.40.70,443,kusa-chycamvm01
10.45.48.21,443,wbir-bccs01
10.45.48.23,443,wbir-bcencode03
10.45.48.53,443,wbir-camio
10.45.56.41,443,kxtv-bces01
10.45.56.42,443,kxtv-bcoasis01
10.45.56.43,443,kxtv-bcmedia01
10.45.56.44,443,kxtv-bcmedia02
10.45.72.10,443,wfmy-camio-svr1
10.45.72.21,443,wfmy-mp01
10.45.72.22,443,wfmy-mp02
10.45.72.36,443,wfmy-enps-web1
10.45.72.42,443,wfmy-bccs01
10.45.72.52,443,wfmy-oas01
10.45.80.131,443,wgrz-bccs01
10.45.80.132,443,wgrz-bcoasis01
10.45.80.133,443,wgrz-bcmp01
10.45.80.134,443,wgrz-bcmp02
10.45.80.39,443,wgrz-enpsmob
10.45.80.60,443,wgrz-camio
10.45.96.35,443,wltx-enpsweb
10.45.96.41,443,wltx-bces01
10.45.96.51,443,wltx-bcoasis01
10.45.96.81,443,wltx-bcmedia01
10.45.96.91,443,wltx-bcmedia02
10.46.1.40,443,10.46.1.40
10.46.12.11,443,wqad-bccs01
10.46.12.12,443,wqad-oasis01
10.46.12.13,443,wqad-mp01
10.46.12.14,443,wqad-mp02
10.46.12.189,443,10.46.12.189
10.46.12.19,443,10.46.12.19
10.46.12.20,443,10.46.12.20
10.46.12.202,443,wqad-mediaproxy
10.46.12.242,443,10.46.12.242
10.46.12.244,443,10.46.12.244
10.46.2.198,443,wpmt-buaas01-rm
10.46.2.60,443,wpmt-mediaproxy
10.46.2.99,443,wpmt-lclsccm02
10.46.20.11,443,wtic-bccs01
10.46.20.12,443,wtic-oasis01
10.46.20.13,443,wtic-mp01
10.46.20.14,443,wtic-mp02
10.46.20.21,443,wtic-camio
10.46.20.35,443,wtic-ross-ods01
10.46.20.36,443,wtic-ross-ods02
10.46.27.72,443,wzdx-lclsccm01
10.46.4.11,443,wpmt-bccs01
10.46.4.12,443,wpmt-oasis01
10.46.4.13,443,wpmt-mp01
10.46.4.14,443,wpmt-mp02
10.46.4.21,443,wpmt-camio
10.46.4.35,443,wpmt-ross-ods01
10.46.4.36,443,wpmt-ross-ods02
10.6.147.92,443,kusa-lcladdc02-rm
10.6.19.91,443,kxtv-lcladdc01-rm
10.6.19.92,443,kxtv-lcladdc02-rm
10.6.76.24,443,wtlv-lclsccm01
10.6.76.91,443,wtlv-lcladdc01-rm
10.6.83.92,443,wkyc-lcladdc02-rm
10.6.86.91,443,kare-lcladdc01-rm
10.6.86.92,443,kare-lcladdc02-rm
10.6.87.228,443,kare-mediaproxy
10.6.89.89,443,10.6.89.89
10.6.89.90,443,kare-dominionkx3-wx
10.60.224.22,443,10.60.224.22
10.60.79.43,443,polycom64167fe53b57
10.60.79.58,443,10.60.79.58
10.61.119.23,443,10.61.119.23
10.61.231.45,443,10.61.231.45
10.61.247.27,443,10.61.247.27
